"Authors","Author full names","Author(s) ID","Title","Year","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Editors","Publisher","PubMed ID"
"Wu X.; Ding Y.; Zhou X.; Xu Y.; Wang S.; Xu X.; Qi L.","Wu, Xiaotong (59294184600); Ding, Yan (59293385600); Zhou, Xiaokang (55514932700); Xu, Yanwei (57193221446); Wang, Shoujin (57196155993); Xu, Xiaolong (55706201200); Qi, Lianyong (36519541200)","59294184600; 59293385600; 55514932700; 57193221446; 57196155993; 55706201200; 36519541200","Fuzzy Federated Learning for Privacy-Preserving Detection of Adolescent Idiopathic Scoliosis","2024","","","","1","15","14","10.1109/TFUZZ.2024.3445468","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201786408&doi=10.1109%2fTFUZZ.2024.3445468&partnerID=40&md5=73b9c04b1160bd503cdb85a22d093b80","As a distributed intelligent paradigm, fuzzy federated learning (FuzzyFL) can reduce the uncertainty and noise of biomedical data and is suited to enhance the accurate detection of adolescent idiopathic scoliosis (AIS). The advanced paradigm requires the hospitals to share the gradient of the fuzzy deep neural network (FDNN) rather than biomedical data. Not only that, the recent research works have been devoted to privacy-preserving FuzzyFL for secure AIS detection, that adds differential privacy-based noise to the gradients against membership inference attack, attribute inference attack. However, a novel reconstruction attack called gradient leakage attack (GLA) on inferring biomedical data over the gradient brings the security challenges to FuzzyFL and thus has a negative influence on AIS detection. It is natural to ask a fundamental question: Can differentially private FuzzyFL for AIS detection over biomedical data defend GLA? In this paper, we construct a privacy-preserving FuzzyFL framework called <monospace>PrivateFuzzyFL</monospace>, that offers a great opportunity to present the systematic evaluation of the private FDNN threatened by the GLAs. In our experiments on a set of chest X-ray images and four FDNNs, we compare more than ten private fuzzy federated optimization algorithms in terms of the defense effect and the utility cost and derive that (1) The existing private FDNNs in FuzzyFL can offer a certain amount of privacy protection for biomedical data against the GLA; and (2) The perturbation algorithm with better defense effect usually causes the worse AIS detection of the FDNN. IEEE","Artificial intelligence; Bioinformatics; disease detection; Federated learning; fuzzy federated learning; fuzzy neural network; Fuzzy systems; Hospitals; Privacy; privacy protection; Protection; reconstruction attack","Contrastive Learning; Deep neural networks; Differential privacy; Fuzzy inference; Fuzzy neural networks; Adolescent idiopathic scoliosis; Biomedical data; Disease detection; Fuzzy federated learning; Fuzzy-neural-networks; Privacy; Privacy preserving; Privacy protection; Protection; Reconstruction attacks; Federated learning","","","Institute of Electrical and Electronics Engineers Inc.",""
"Sattar S.; Mumtaz R.; Qadir M.; Mumtaz S.; Khan M.A.; De Waele T.; De Poorter E.; Moerman I.; Shahid A.","Sattar, Shoaib (57224463985); Mumtaz, Rafia (16176156800); Qadir, Mamoon (58903996900); Mumtaz, Sadaf (46761367800); Khan, Muhammad Ajmal (58549607900); De Waele, Timo (57414680000); De Poorter, Eli (23396863400); Moerman, Ingrid (7005875225); Shahid, Adnan (36083258800)","57224463985; 16176156800; 58903996900; 46761367800; 58549607900; 57414680000; 23396863400; 7005875225; 36083258800","Cardiac Arrhythmia Classification Using Advanced Deep Learning Techniques on Digitized ECG Datasets","2024","24","8","2484","","","","10.3390/s24082484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191369948&doi=10.3390%2fs24082484&partnerID=40&md5=d2655de24c17f6f20ad4b2fba0bee8ca","ECG classification or heartbeat classification is an extremely valuable tool in cardiology. Deep learning-based techniques for the analysis of ECG signals assist human experts in the timely diagnosis of cardiac diseases and help save precious lives. This research aims at digitizing a dataset of images of ECG records into time series signals and then applying deep learning (DL) techniques on the digitized dataset. State-of-the-art DL techniques are proposed for the classification of the ECG signals into different cardiac classes. Multiple DL models, including a convolutional neural network (CNN), a long short-term memory (LSTM) network, and a self-supervised learning (SSL)-based model using autoencoders are explored and compared in this study. The models are trained on the dataset generated from ECG plots of patients from various healthcare institutes in Pakistan. First, the ECG images are digitized, segmenting the lead II heartbeats, and then the digitized signals are passed to the proposed deep learning models for classification. Among the different DL models used in this study, the proposed CNN model achieves the highest accuracy of ∼92%. The proposed model is highly accurate and provides fast inference for real-time and direct monitoring of ECG signals that are captured from the electrodes (sensors) placed on different parts of the body. Using the digitized form of ECG signals instead of images for the classification of cardiac arrhythmia allows cardiologists to utilize DL models directly on ECG signals from an ECG machine for the real-time and accurate monitoring of ECGs. © 2024 by the authors.","arrhythmia; deep learning; digitization; ECG classification; self-supervised learning","Algorithms; Arrhythmias, Cardiac; Deep Learning; Electrocardiography; Heart Rate; Humans; Neural Networks, Computer; Signal Processing, Computer-Assisted; Biomedical signal processing; Classification (of information); Diseases; Heart; Lead compounds; Long short-term memory; Signal analysis; Arrhythmia; Cardiac arrhythmia; Convolutional neural network; Deep learning; Digitisation; ECG classification; ECG signals; Learning models; Learning techniques; Self-supervised learning; algorithm; artificial neural network; classification; deep learning; electrocardiography; heart arrhythmia; heart rate; human; pathophysiology; physiology; procedures; signal processing; Electrocardiograms","Erasmus+; European Commission, EC, (619193-EPP-1-2020-BE-EPPKA2-CBHE-JP); European Commission, EC","","Multidisciplinary Digital Publishing Institute (MDPI)","38676101"
"Chen J.; Lu R.; Ye S.; Guang M.; Tassew T.M.; Jing B.; Zhang G.; Chen G.; Shen D.","Chen, Jian (59290232700); Lu, Ranlin (58726106400); Ye, Shilin (58726298700); Guang, Mengting (58726106500); Tassew, Tewodros Megabiaw (57920908400); Jing, Bin (36451950200); Zhang, Guofu (55739024300); Chen, Geng (56903235100); Shen, Dinggang (57226254008)","59290232700; 58726106400; 58726298700; 58726106500; 57920908400; 36451950200; 55739024300; 56903235100; 57226254008","Image Recovery Matters: A Recovery-Extraction Framework for Robust Fetal Brain Extraction From MR Images","2024","28","2","","823","834","11","10.1109/JBHI.2023.3333953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178028463&doi=10.1109%2fJBHI.2023.3333953&partnerID=40&md5=d611984aa0f1dad1ea5e2909abbb841b","The extraction of the fetal brain from magnetic resonance (MR) images is a challenging task. In particular, fetal MR images suffer from different kinds of artifacts introduced during the image acquisition. Among those artifacts, intensity inhomogeneity is a common one affecting brain extraction. In this work, we propose a deep learning-based recovery-extraction framework for fetal brain extraction, which is particularly effective in handling fetal MR images with intensity inhomogeneity. Our framework involves two stages. First, the artifact-corrupted images are recovered with the proposed generative adversarial learning-based image recovery network with a novel region-of-darkness discriminator that enforces the network focusing on artifacts of the images. Second, we propose a brain extraction network for more effective fetal brain segmentation by strengthening the association between lower- and higher-level features as well as suppressing task-irrelevant features. Thanks to the proposed recovery-extraction strategy, our framework is able to accurately segment fetal brains from artifact-corrupted MR images. The experiments show that our framework achieves promising performance in both quantitative and qualitative evaluations, and outperforms state-of-the-art methods in both image recovery and fetal brain extraction.  © 2013 IEEE. ","brain extraction; Fetal MRI; image recovery; image segmentation; intensity inhomogeneity","Brain; Fetus; Head; Humans; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Brain; Computer system recovery; Deep learning; Extraction; Feature extraction; Generative adversarial networks; Image segmentation; Job analysis; Medical imaging; Recovery; Biomedical imaging; Brain extraction; Brain modeling; Features extraction; Fetal MRI; Image recovery; Images segmentations; Intensity inhomogeneity; Nonhomogeneous medium; Task analysis; algorithm; Article; artifact; brain analysis; classification algorithm; conceptual framework; convolutional neural network; deep learning; diagnostic accuracy; feature extraction; fetus; fetus brain; histogram; human; image analysis; image processing; image quality; image segmentation; imagery; learning; learning algorithm; machine learning; mathematical analysis; nerve cell network; neuroradiologist; nuclear magnetic resonance; nuclear magnetic resonance imaging; qualitative analysis; receptive field; retrospective study; signal noise ratio; signal processing; support vector machine; training; visual field; brain; diagnostic imaging; head; image processing; nuclear magnetic resonance imaging; procedures; Magnetic resonance imaging","","","Institute of Electrical and Electronics Engineers Inc.","37995170"
"Woessner A.E.; Anjum U.; Salman H.; Lear J.; Turner J.T.; Campbell R.; Beaudry L.; Zhan J.; Cornett L.E.; Gauch S.; Quinn K.P.","Woessner, Alan E. (57202230415); Anjum, Usman (57367380200); Salman, Hadi (57526140800); Lear, Jacob (58848242400); Turner, Jeffrey T. (59233896100); Campbell, Ross (57204853222); Beaudry, Laura (59231463000); Zhan, Justin (59233555300); Cornett, Lawrence E. (7004305090); Gauch, Susan (6602196195); Quinn, Kyle P. (16647213500)","57202230415; 57367380200; 57526140800; 58848242400; 59233896100; 57204853222; 59231463000; 59233555300; 7004305090; 6602196195; 16647213500","Identifying and training deep learning neural networks on biomedical-related datasets","2024","25","","bbae232","","","","10.1093/bib/bbae232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199492909&doi=10.1093%2fbib%2fbbae232&partnerID=40&md5=aaa77e45465e75e2c5cea912d90afc82","This manuscript describes the development of a resources module that is part of a learning platform named ‘NIGMS Sandbox for Cloud-based Learning’ https://github.com/NIGMS/NIGMS-Sandbox. The overall genesis of the Sandbox is described in the editorial NIGMS Sandbox at the beginning of this Supplement. This module delivers learning materials on implementing deep learning algorithms for biomedical image data in an interactive format that uses appropriate cloud resources for data access and analyses. Biomedical-related datasets are widely used in both research and clinical settings, but the ability for professionally trained clinicians and researchers to interpret datasets becomes difficult as the size and breadth of these datasets increases. Artificial intelligence, and specifically deep learning neural networks, have recently become an important tool in novel biomedical research. However, use is limited due to their computational requirements and confusion regarding different neural network architectures. The goal of this learning module is to introduce types of deep learning neural networks and cover practices that are commonly used in biomedical research. This module is subdivided into four submodules that cover classification, augmentation, segmentation and regression. Each complementary submodule was written on the Google Cloud Platform and contains detailed code and explanations, as well as quizzes and challenges to facilitate user training. Overall, the goal of this learning module is to enable users to identify and integrate the correct type of neural network with their data while highlighting the ease-of-use of cloud computing for implementing neural networks. This manuscript describes the development of a resource module that is part of a learning platform named “NIGMS Sandbox for Cloud-based Learning” https://github.com/NIGMS/NIGMS-Sandbox. The overall genesis of the Sandbox is described in the editorial NIGMS Sandbox [1] at the beginning of this Supplement. This module delivers learning materials on the analysis of bulk and single-cell ATACseq data in an interactive format that uses appropriate cloud resources for data access and analyses. © The Author(s) 2024. Published by Oxford University Press.","artificial intelligence; biomedical research; cloud-based computing; deep learning; engineering education","Algorithms; Biomedical Research; Cloud Computing; Deep Learning; Humans; Neural Networks, Computer; algorithm; artificial neural network; cloud computing; deep learning; human; medical research","National Institute of General Medical Sciences, NIGMS, (3P20GM103429-21S2); National Institute of General Medical Sciences, NIGMS; Arkansas Integrative Metabolic Research Center, (P20GM139768); National Institutes of Health, NIH, (R01AG056560, R01EB031032); National Institutes of Health, NIH","","Oxford University Press","39041915"
"Macsik P.; Pavlovicova J.; Kajan S.; Goga J.; Kurilova V.","Macsik, Peter (57816114600); Pavlovicova, Jarmila (6506666238); Kajan, Slavomir (6507799334); Goga, Jozef (57200530641); Kurilova, Veronika (56403179400)","57816114600; 6506666238; 6507799334; 57200530641; 56403179400","Image preprocessing-based ensemble deep learning classification of diabetic retinopathy","2024","18","3","","807","828","21","10.1049/ipr2.12987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176916713&doi=10.1049%2fipr2.12987&partnerID=40&md5=d8e87e5a1443cc09c87afa93b2866c1a","Diabetic retinopathy (DR) can cause irreversible eye damage, even blindness. The prognosis improves with early diagnosis. According to the International Classification of Diabetic Retinopathy Severity Scale (ICDRSS), DR has five stages. Modern, cost-effective techniques for automatic DR screening and staging of fundus images are based on deep learning (DL). To obtain higher classification accuracy, the combination of several diverse individual DL models into one ensemble could be used. A new approach to model diversity in an ensemble is proposed by manipulating the training input data involving original and four variants of preprocessed image datasets. There are publicly available datasets with labels for all five stages, but some contain poor-quality images. In contrast, this algorithm was trained on images from a six-class DDR dataset, including the class of poor-quality ungradable images, to enhance the classification performance. The solution was evaluated on the APTOS dataset, containing only ICDRSS classes. Classification results of the ensemble model were presented on two different ensemble convolutional neural network (CNN) models, based on Xception and EfficientNetB4 architectures using two fusion approaches. Our proposed ensemble models outperformed all other single deep learning architectures regarding overall accuracy and Cohen's Kappa, with the best results using the EfficientNetB4 architecture. © 2023 The Authors. IET Image Processing published by John Wiley & Sons Ltd on behalf of The Institution of Engineering and Technology.","biomedical optical imaging; computer vision; convolutional neural nets; image classification; medical image processing","Computer aided diagnosis; Computer vision; Convolution; Convolutional neural networks; Cost effectiveness; Deep learning; Eye protection; Image classification; Image enhancement; Learning systems; Medical imaging; Network architecture; Biomedical optical imaging; Convolutional neural net; Cost effective; Diabetic retinopathy; Diabetic retinopathy screening; Early diagnosis; Ensemble models; Image preprocessing; Images classification; Medical images processing; Classification (of information)","Nitto; Vedecká Grantová Agentúra MŠVVaŠ SR a SAV, VEGA, (1/0202/23, APVV‐22‐606); Vedecká Grantová Agentúra MŠVVaŠ SR a SAV, VEGA; European Regional Development Fund, ERDF","","John Wiley and Sons Inc",""
"Agbozo E.; Balungu D.M.","Agbozo, Ebenezer (57195492315); Balungu, Daniel Musafiri (58949345900)","57195492315; 58949345900","Liver Disease Classification - An XAI Approach to Biomedical AI","2024","48","1","","79","90","11","10.31449/inf.v48i1.4611","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188317900&doi=10.31449%2finf.v48i1.4611&partnerID=40&md5=a021e1a72473d9df7ca91907e267d3f5","Explosive amounts of biological and physiological data, including medical images, electroencephalograms, genomic information, and protein sequences, have been made available to us thanks to advances in biological and medical technologies. Understanding human health and disease is made easier by using this data for learning. Deep learning-based algorithms, which were developed from artificial neural networks, have significant potential for identifying patterns and extracting features from large amounts of complex data. However, these recent advancements involve blackbox models: algorithms that do not provide human-understandable explanations in support of their decisions. This limitation hampers the fairness, accountability and transparency of these models; the field of XAI tries to solve this problem providing human-understandable explanations for black-box models. This paper focuses on the requirement for XAI to be able to explain in detail the decisions made by an AI in a biomedical setting to the expert in the domain, e.g., the physician in the case of AI-based clinical decisions related to diagnosis, treatment, or prognosis of a disease. In this paper, we made use of the Indian Patient Liver Dataset (IPLD) collected from Andhra Pradesh region. The deep learning model with a 0.81 accuracy score (0.82 for the hyperparameter- tuned model) is built on Keras-Tensorflow and due to the imbalance in the target values, we integrated GANs as a means of oversampling the dataset. This study integrated the XAI concept of Shapley Values to shed light on the predictive results obtained by the liver disease detection model. © 2024 Slovene Society Informatika. All rights reserved.","biomedical science; data-driven decision making; deep learning; explainable ai; prescriptive analytics; shapley values","Bioelectric phenomena; Biomedical engineering; Deep learning; Diagnosis; Diseases; Learning systems; Medical imaging; Neural networks; Biomedical science; Black box modelling; Data driven decision; Data-driven decision making; Decisions makings; Deep learning; Explainable ai; Liver disease; Prescriptive analytic; Shapley value; Decision making","","","Slovene Society Informatika",""
"Li Y.; Huang H.; Wu J.; Qu L.; Liu C.; Tian C.; Yang B.; Han T.","Li, Yuanyuan (59232177000); Huang, Haimeng (59232395700); Wu, Jun (57266847900); Qu, Lei (36175185400); Liu, Chao (59232173200); Tian, Chong (59232064900); Yang, Bo (59232286800); Han, Tingting (57203482754)","59232177000; 59232395700; 57266847900; 36175185400; 59232173200; 59232064900; 59232286800; 57203482754","Depth Feature Matching Based Coherence Registration of 3D Biological Images","2024","","","","88","92","4","10.1109/ICIPMC62364.2024.10586679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199474082&doi=10.1109%2fICIPMC62364.2024.10586679&partnerID=40&md5=834d35be79224edb3e44d9b0160747e9","Establishing dense anatomical correspondences across different imaging modalities is a fundamental yet challenging task in many medical image analysis studies. Existing multimodal registration algorithms depend on optimal transformation estimation based on feature point matching or deformation prediction based on depth learning. However, the former fails to capture the deeper semantic information of images effectively, while the latter tends to lose critical detail features when registering high-resolution images. In this paper, we propose a three-dimensional coherent registration method for biological images (DFMCR), based on deep feature matching. Leveraging deep neural networks trained on large-scale data, we learn a multimodal feature representation and similarity metric. Through feature point matching, we significantly reduce the computational burden, enabling registration of images at resolutions of 25um and higher.  © 2024 IEEE.","Biomedical imaging; Cross-mode registration; Deep feature matching; Similarity measure","Computer vision; Medical imaging; Semantics; Biomedical imaging; Cross-mode registration; Deep feature matching; Depth features; Feature points matching; Features matching; Imaging modality; Medical image analysis; Multimodal registration; Similarity measure; Deep neural networks","Natural Science Foundation of Anhui Province, (KJ2021A0017); Natural Science Foundation of Anhui Province; National Natural Science Foundation of China, NSFC, (62271003, 62201008); National Natural Science Foundation of China, NSFC; Sci-Tech Innovation 2030 Agenda, (2022ZD0205204, 2022ZD0205200); University Synergy Innovation Program of Anhui Province, (GXXT-2021-001)","","Institute of Electrical and Electronics Engineers Inc.",""
"Karthikeyani S.; Sasipriya S.; Ramkumar M.","Karthikeyani, S. (57223006025); Sasipriya, S. (57218355576); Ramkumar, M. (57214979824)","57223006025; 57218355576; 57214979824","Cardiac arrhythmias detection framework based on higher-order spectral distribution with deep learning","2024","92","","105997","","","","10.1016/j.bspc.2024.105997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185390878&doi=10.1016%2fj.bspc.2024.105997&partnerID=40&md5=3be79368aec83f5c3696084d95ec3804","In this article, a new framework for arrhythmia identification using higher-order spectral distributions and deep learning approaches has been proposed. The input signal is first pre-processed using the Sparse Low-Rank filter (CVSS-NLMS-LRF) and Cascaded Variable step size-Normalized least mean square algorithm (CVSS-NLMS-LRF) techniques. This method eliminates various types of noise signals from the Electrocardiogram (ECG) signals, such as power line noise, baseline wander noise (BW), and high-frequency muscle artefacts. After pre-processing the signal, the features are selected using a Higher-order spectral energy distribution image (HSDI) obtained using a two-dimensional Fourier transform from the third-order cumulant process. Finally, the multi-stage dual swin transformer with attention learning (MS-DSwin-AL) is proposed to classify cardiac arrhythmias in the input ECG spectral. The Dual Swin Transformer, the Channel and Element-wise Attention Mechanism (CEAM) and the Transitional Module (TM) form the framework of the proposed classification. Additionally, the classification parameters are fine-tuned using an Integrated Average Subtraction and Standard Deviation based Optimizer (IASSD) algorithm. As a result, the proposed model is executed in the Python platform using the MIT-BIH dataset, and the performance is considered in terms of various evaluation metrics. Furthermore, the performance of a proposed model is compared with existing classifiers. The proposed model achieves an accuracy (96.01%), specificity (94%), recall (93.02%), and F1-score (89.14%) higher than the existing classifiers for cardiac arrhythmia classification. As a result, it can be said that the proposed model has a strong chance of identifying cardiac arrhythmias from the provided data. © 2024 Elsevier Ltd","Cascaded variable step size (CVSS); Channel and Element-wise Attention Mechanism (CEAM); integrated average subtraction and standard deviation-based optimizer (IASSD); Normalized least-mean-square (NLMS); sparse low-rank filter (LRF); Third-order cumulants (ToC)","Biomedical signal processing; Deep learning; Electrocardiograms; Heart; Python; Statistics; Attention mechanisms; Cascaded variable step size; Channel and element-wise attention mechanism; Integrated average subtraction and standard deviation-based optimizer; Least mean squares; Normalized least-mean-square; Optimizers; Rank filters; Sparse low-rank filter; Standard deviation; Third-order cumulant; Variable step size; Article; cardiologist; comparative study; controlled study; deep learning; deep neural network; diagnostic accuracy; diagnostic test accuracy study; dimensionality reduction; electrocardiogram; electrocardiography; feature detection; feature extraction; feature selection; Fourier transform spectroscopy; heart arrhythmia; human; long short term memory network; metaheuristics; sensitivity and specificity; supraventricular premature beat; Diseases","","","Elsevier Ltd",""
"Khan R.U.; Almakdi S.; Alshehri M.; Haq A.U.; Ullah A.; Kumar R.","Khan, Riaz Ullah (57202445169); Almakdi, Sultan (57211498975); Alshehri, Mohammed (57210193521); Haq, Amin Ul (59157731200); Ullah, Aman (57208471108); Kumar, Rajesh (58488212700)","57202445169; 57211498975; 57210193521; 59157731200; 57208471108; 58488212700","An intelligent neural network model to detect red blood cells for various blood structure classification in microscopic medical images","2024","10","4","e26149","","","","10.1016/j.heliyon.2024.e26149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187303011&doi=10.1016%2fj.heliyon.2024.e26149&partnerID=40&md5=adad2207a4666da4c8a5340283f9cd09","Biomedical image analysis plays a crucial role in enabling high-performing imaging and various clinical applications. For the proper diagnosis of blood diseases related to red blood cells, red blood cells must be accurately identified and categorized. Manual analysis is time-consuming and prone to mistakes. Analyzing multi-label samples, which contain clusters of cells, is challenging due to difficulties in separating individual cells, such as touching or overlapping cells. High-performance biomedical imaging and several medical applications are made possible by advanced biosensors. We develop an intelligent neural network model that can automatically identify and categorize red blood cells from microscopic medical images using region-based convolutional neural networks (RCNN) and cutting-edge biosensors. Our model successfully navigates obstacles like touching or overlapping cells and accurately recognizes various blood structures. Additionally, we utilized data augmentation as a pre-processing method on microscopic images to enhance the model's computational efficiency and expand the sample size. To refine the data and eliminate noise from the dataset, we utilized the Radial Gradient Index filtering algorithm for imaging data equalization. We exhibit improved detection accuracy and a reduced model loss rate when using medical imagery datasets to apply our proposed model in comparison to existing ResNet and GoogleNet models. Our model precisely detected red blood cells in a collection of medical images with 99% training accuracy and 91.21% testing accuracy. Our proposed model outperformed earlier models like ResNet-50 and GoogleNet by 10-15%. Our results demonstrated that Artificial intelligence (AI)-assisted automated red blood cell detection has the potential to revolutionize and speed up blood cell analysis, minimizing human error and enabling early illness diagnosis. © 2024 The Author(s)","Deep learning; Image processing; Object detection; RBC detection","","University of Electronic Science and Technology of China, UESTC, (U03210068); University of Electronic Science and Technology of China, UESTC; Deanship of Scientific Research, University of Jordan, DSR, (NU/RG/SERC/12/3); Deanship of Scientific Research, University of Jordan, DSR","","Elsevier Ltd",""
"Mishra A.K.; Gupta I.K.; Diwan T.D.; Srivastava S.","Mishra, Awanish Kumar (57222248739); Gupta, Indresh Kumar (57188752252); Diwan, Tarun Dhar (57195319554); Srivastava, Swati (57198632001)","57222248739; 57188752252; 57195319554; 57198632001","Cervical precancerous lesion classification using quantum invasive weed optimization with deep learning on biomedical pap smear images","2024","41","7","e13308","","","","10.1111/exsy.13308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158055678&doi=10.1111%2fexsy.13308&partnerID=40&md5=07f0811a97227eda45c6eebe7a88a959","Biomedical imaging devices, in general, have been made and used a lot lately to examine the insides of the body during diagnostic and analytic procedures. Biomedical imaging gives accurate information about metabolites, which can be used to find and classify diseases because it is not invasive. For the study of cervical cancer (CC), the pap smear is a crucial type of biological imaging. CC is a crucial reason to enhance the rate of women's mortalities. Proper screening of pap smear images is critical for assisting in the early detection and analysis of CC. Computer-aided systems for cancerous cell recognition need well established artificial intelligence (AI) methods. In this study, we introduce an automated Cervical Precancerous Lesion Classification using Quantum Invasive Weed Optimization with Deep Learning (CPLC-QIWODL) on biomedical pap smear images. The presented CPLC-QIWODL technique examines the pap smear images for cervical cancer classification. To do so, the presented CPLC-QIWODL technique pre-processes the biomedical images using a Gabor filtering (GF) approach. Moreover, the CPLC-QIWODL technique uses a deep convolutional neural network-based SqueezeNet system for feature extraction. Furthermore, the hyperparameter tuning of the SqueezeNet methodology takes place using the QIWO technique, showing the novelty of the work. Finally, to classify CC, the deep variational autoencoder (DVAE) model is applied. The experimental result analysis of the CPLC-QIWODL technique is tested using a benchmark medical image database. Extensive comparative results demonstrated the enhanced outcomes of the CPLC-QIWODL technique over other existing algorithms, with a maximum accuracy of 99.07%. © 2023 John Wiley & Sons Ltd.","artificial intelligence; biomedical imaging; cervical cancer; metaheuristics; pap smear images","Classification (of information); Computer aided analysis; Computer aided diagnosis; Deep neural networks; Diseases; Image analysis; Image classification; Learning systems; Medical imaging; Metabolites; Biological imaging; Biomedical imaging; Cervical cancers; Imaging device; Invasive weed optimization; Learning techniques; Lesion classification; Metaheuristic; Pap smear; Pap smear images; Invasive weed optimization","","","John Wiley and Sons Inc",""
